PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Wang, BH; Liang, YT; Zhao, W; Shen, Y; Yuan, M; Li, ZM; Guo, J				Wang, Bohong; Liang, Yongtu; Zhao, Wei; Shen, Yun; Yuan, Meng; Li, Zhimin; Guo, Jian			A Continuous Pump Location Optimization Method for Water Pipe Network Design	WATER RESOURCES MANAGEMENT												Pump location optimization is a key issue in the design of water pipe networks to reduce energy consumptions and associated costs. The pump location variables in previous papers were typically discrete, resulting in potentially sub-optimal solutions. If the discrete variables are densified, the solving time increases substantially. To overcome the shortcomings of the discrete pump location optimization method, a novel continuous location optimization method is proposed. The hydraulic calculations of pipes and operation of pumps are coupled in the model to make it practical. The objective function minimizes the installation and operating costs of pumps. A branch and a looped water pipe network are studied. The proposed continuous location optimization method is compared with the previous discrete method. The results show that the proposed method has advantages regarding cost-minimization and it reduces the time required to produce solutions. The method is generic and can be applied to other real cases to determine the optimal pump locations to achieve the goals of cost-minimization and energy saving.					Wang, Bohong/M-2379-2019; Yuan, Meng/AAE-9286-2019	Wang, Bohong/0000-0003-1206-475X; Yuan, Meng/0000-0003-4176-0164													0920-4741	1573-1650				JAN	2021	35	2					447	464		10.1007/s11269-020-02722-1	http://dx.doi.org/10.1007/s11269-020-02722-1		JAN 2021											WOS:000606435300002
J	Ip, HMD; Drakakis, EM; Bharath, AA				Ip, Henry Man D.; Drakakis, Emmanuel M.; Bharath, Anil Anthony			On analog networks and mixed-domain spatio-temporal frequency response	IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS												In this paper, we extend the linear cellular neural network (CNN) paradigm by introducing temporal derivative diffusion connections between neighboring cells. Our proposal results in an analog network topology for implementing general continuous-time discrete-space mixed-domain 3-D rational transfer functions for linear filtering. The network connections correspond one-to-one to the transfer function coefficients. The mixed-domain frequency response is treated as a temporal frequency-dependent spatial function and we show how nonseparable properties of the spatio-temporal magnitude response can be derived from the combination of: 1) sinusoidal functions of spatial frequencies and 2) polynomials of the continuous-time frequency in the 3-D frequency response expression. A generic VLSI-compatible implementation of the network based on continuous-time integrators is also proposed. Based on our proposed CNN extension, the analysis of a spatio-temporal filtering example originated from analytical modeling of receptive fields of the visual cortex is presented and a spatio-temporal cone filter is designed and presented with numerical simulation results.																			1549-8328	1558-0806				FEB	2008	55	1					272	285		10.1109/TCSI.2007.906068	http://dx.doi.org/10.1109/TCSI.2007.906068													WOS:000254022300005
J	Cao, YT; Wang, SQ; Guo, ZY; Huang, TW; Wen, SP				Cao, Yuting; Wang, Shiqin; Guo, Zhenyuan; Huang, Tingwen; Wen, Shiping			Stabilization of memristive neural networks with mixed time-varying delays via continuous/periodic event-based control	JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS												This paper addresses the asymptotic stabilization of memristive neural networks with mixed time-varying delays. With two different sampling schemes, sufficient conditions for asymptotic stability of the delayed memristive neural networks system can be obtained by designing appropriate event-based controllers. It is worth mentioning that the state-dependent memristive neural network model in this paper includes time-varying discrete and distributed delays, which is a generalization of the traditional neural network model. Furthermore, based on the continuous sampling event trigger control scheme, a method for designing more economical periodic sampling event trigger control scheme is proposed. Finally, to verify the validity of our conclusions, two numerical simulation examples are given. (C) 2020 The Franklin Institute. Published by Elsevier Ltd. All rights reserved.					Wen, Shiping/ABE-6552-2020; Wen, Shiping/IWM-0299-2023; Guo, Zhenyuan/AAX-8223-2021; Huang, Tingwen/K-1367-2013	Huang, Tingwen/0000-0001-9610-846X													0016-0032	1879-2693				JUL	2020	357	11					7122	7138		10.1016/j.jfranklin.2020.05.040	http://dx.doi.org/10.1016/j.jfranklin.2020.05.040													WOS:000548504000009
J	Lee, JG; Kim, J				Lee, Jin Gyu; Kim, Junsoo			Mixed analog-digital method of designing a heterogeneous network with the desired collective behavior and rapid convergence	SYSTEMS & CONTROL LETTERS												Among many advances given by the diffusive coupling on the synchronization problem, recently a design method for a continuous-time heterogeneous network with the desired collective behavior has been developed. Meanwhile, by its use of high-gain, implementation issues arise in discrete -time frameworks. The goal of this paper is thus to introduce a simple scheme that follows the philosophy of Carver Mead, a pioneer of VLSI (Very Large Scale Integration) technology, that removes those implementation issues. In the end, we utilize what corresponds to derivative consensus in continuous-time, which can be realized by, for instance, an analog electric circuit. This provides a mixed analog-digital method of designing a heterogeneous network with the desired collective behavior and rapid convergence. (C) 2022 The Author(s). Published by Elsevier B.V.& nbsp;					Lee, Jin Gyu/IXW-6129-2023; Kim, Junsoo/AAE-6485-2022	Lee, Jin Gyu/0000-0001-7790-2406; Kim, Junsoo/0000-0002-4450-8741													0167-6911	1872-7956				FEB	2022	160								105126	10.1016/j.sysconle.2021.105126	http://dx.doi.org/10.1016/j.sysconle.2021.105126		JAN 2022											WOS:000788748900008
J	Wan, P; Zeng, ZG				Wan, Peng; Zeng, Zhigang			Exponential Stability of Impulsive Timescale-Type Nonautonomous Neural Networks With Discrete Time-Varying and Infinite Distributed Delays	IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS												Global exponential stability (GES) for impulsive timescale-type nonautonomous neural networks (ITNNNs) with mixed delays is investigated in this article. Discrete time-varying and infinite distributed delays (DTVIDDs) are taken into consideration. First, an improved timescale-type Halanay inequality is proven by timescale theory. Second, several algebraic inequality criteria are demonstrated by constructing impulse-dependent functions and utilizing timescale analytical techniques. Different from the published works, the theoretical results can be applied to GES for ITNNNs and impulsive stabilization design of timescale-type nonautonomous neural networks (TNNNs) with mixed delays. The improved timescale-type Halanay inequality considers time-varying coefficients and DTVIDDs, which improves and extends some existing ones. GES criteria for ITNNNs cover the stability conditions of discrete-time nonautonomous neural networks (NNs) and continuous-time ones, and these theoretical results hold for NNs with discrete-continuous dynamics. The effectiveness of our new theoretical results is verified by two numerical examples in the end.					Zeng, Zhigang/A-2816-2011	Zeng, Zhigang/0000-0003-4587-3588; Wan, Peng/0000-0002-3274-1319													2162-237X	2162-2388				JAN	2024	35	1					1292	1304		10.1109/TNNLS.2022.3183195	http://dx.doi.org/10.1109/TNNLS.2022.3183195		JUN 2022						35737614					WOS:000826444200001
J	Fu, XW; Ricci, S; Bisagni, C				Fu, Xinwei; Ricci, Sergio; Bisagni, Chiara			Minimum-weight design for three dimensional woven composite stiffened panels using neural networks and genetic algorithms	COMPOSITE STRUCTURES												The paper describes a modeling strategy for multi-scale analysis and optimization of stiffened panels, made of three-dimensional woven composites. Artificial neural network techniques are utilized to generate an approximate response for the optimum structural design in order to increase efficiency and applicability. The artificial neural networks are integrated with genetic algorithms to optimize mixed discrete-continuous design variables for the three dimensional woven composite structures. The proposed procedure is then applied to the multi-objective optimal design of a stiffened panel subject to buckling and post-buckling requirements. (C) 2015 Elsevier Ltd. All rights reserved.					Ricci, Sergio/F-1093-2012; Bisagni, Chiara/G-7158-2012														0263-8223	1879-1085				DEC 15	2015	134						708	715		10.1016/j.compstruct.2015.08.077	http://dx.doi.org/10.1016/j.compstruct.2015.08.077													WOS:000363831900071
J	Saif, Y; Rizwan, M; Almansoori, A; Elkamel, A				Saif, Yousef; Rizwan, Muhammad; Almansoori, Ali; Elkamel, Ali			MINLP Model for Reverse Osmosis Network Design under Time-Variant Operation Constraints	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH												Reverse osmosis (RO) is a very well-established technology for water desalination. Commercial RO systems are composed of several numbers of RO passes with auxiliary equipment such as high-pressure pumps and pressure-exchanger units to facilitate the separation, and to deliver clean water. Available design models for the RO network represent mixed integer nonlinear programming (MINLP) formulations. In addition, the existing RO design MINLP models are static in nature. These models are not suitable for RO network design under time-variant constraints. In this study, a multiperiod MINLP model is detailed for the RO network design. High-level design decision variables are related to the RO network configuration and equipment sizing, which are independent of time. These decisions are modeled by discrete and continuous variables. Low-level time-variant decision variables are related to the RO network operation and modeled by continuous variables. The operation decision variables are constrained by the design variables through different time periods to satisfy water-demand constraints. In addition, several correlations are considered in this study to estimate water and RO transport properties during the separation process. Case studies are analyzed to show the application of the mathematical programming model.					elkamel, ali/ABC-2963-2020	saif, yousef/0000-0002-6560-7116; Rizwan, Muhammad/0000-0002-2590-7675													0888-5885					DEC 11	2019	58	49					22315	22323		10.1021/acs.iecr.9b05450	http://dx.doi.org/10.1021/acs.iecr.9b05450													WOS:000502687700017
J	Hu, Z; Mahadevan, S				Hu, Zhen; Mahadevan, Sankaran			Bayesian Network Learning for Data-Driven Design	ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS PART B-MECHANICAL ENGINEERING												Bayesian networks (BNs) are being studied in recent years for system diagnosis, reliability analysis, and design of complex engineered systems. In several practical applications, BNs need to be learned from available data before being used for design or other purposes. Current BN learning algorithms are mainly developed for networks with only discrete variables. Engineering design problems often consist of both discrete and continuous variables. This paper develops a framework to handle continuous variables in BN learning by integrating learning algorithms of discrete BNs with Gaussian mixture models (GMMs). We first make the topology learning more robust by optimizing the number of Gaussian components in the univariate GMMs currently available in the literature. Based on the BN topology learning, a new multivariate Gaussian mixture (MGM) strategy is developed to improve the accuracy of conditional probability learning in the BN. A method is proposed to address this difficulty of MGM modeling with data of mixed discrete and continuous variables by mapping the data for discrete variables into data for a standard normal variable. The proposed framework is capable of learning BNs without discretizing the continuous variables or making assumptions about their conditional probability densities (CPDs). The applications of the learned BN to uncertainty quantification and model calibration are also investigated. The results of a mathematical example and an engineering application example demonstrate the effectiveness of the proposed framework.																			2332-9017	2332-9025				DEC	2018	4	4							041002	10.1115/1.4039149	http://dx.doi.org/10.1115/1.4039149													WOS:000448247000002
J	Blommaert, M; Wack, Y; Baelmans, M				Blommaert, Maarten; Wack, Y.; Baelmans, M.			An adjoint optimization approach for the topological design of large-scale district heating networks based on nonlinear models	APPLIED ENERGY												This article deals with the problem of finding the best topology, pipe diameter choices, and operation parameters for realistic district heating networks. Present design tools that employ non-linear flow and heat transport models for topological design are limited to small heating networks with up to 20 potential consumers. We introduce an alternative adjoint-based numerical optimization strategy to enable large-scale nonlinear thermal network optimization. In order to avoid a strong computational cost scaling with the network size, we aggregate consumer constraints with a constraint aggregation strategy. Moreover, to align this continuous optimization strategy with the discrete nature of topology optimization and pipe size choices, we present a numerical continuation strategy that gradually forces the design variables towards discrete design choices. As such, optimal network topology and pipe sizes are determined simultaneously. Finally, we demonstrate the scalability of the algorithm by designing a fictitious district heating network with 160 consumers. As a proof-of-concept, the network is optimized for minimal investment cost and pumping power, while keeping the heat supplied to the consumers within a thermal comfort range of 5%. Starting from a uniform distribution of 15 cm wide piping throughout the network, the novel algorithm finds a network layout that reduces piping investment by 23% and pump-related costs by a factor of 14 in less than an hour on a standard laptop. Moreover, the importance of embedding the non-linear transport model is clear from a temperature-induced variation in the consumer flow rates of 72%.					Blommaert, Maarten/ABT-9774-2022	Blommaert, Maarten/0000-0002-2616-8042; Wack, Yannick/0000-0002-2076-7570; Baelmans, Martine/0000-0001-9905-4583													0306-2619	1872-9118				DEC 15	2020	280								116025	10.1016/j.apenergy.2020.116025	http://dx.doi.org/10.1016/j.apenergy.2020.116025													WOS:000594134700012
J	Ulusoy, AJ; Mahmoud, HA; Pecci, F; Keedwell, EC; Stoianov, I				Ulusoy, Aly-Joy; Mahmoud, Herman A.; Pecci, Filippo; Keedwell, Edward C.; Stoianov, Ivan			Bi-objective design-for-control for improving the pressure management and resilience of water distribution networks	WATER RESEARCH												This paper investigates control and design-for-control strategies to improve the resilience of sectorized water distribution networks (WDN), while minimizing pressure induced pipe stress and leakage. Both evolutionary algorithms (EA) and gradient-based mathematical optimization approaches are investigated for the solution of the resulting large-scale non-linear (NLP) and bi-objective mixed-integer non-linear programs (BOMINLP). While EAs have been successfully applied to solve discrete network design problems for large-scale WDNs, gradientbased mathematical optimization methods are more computationally efficient when dealing with large search spaces associated with continuous variables in optimal network control problems. Considering the advantages of each method, we propose a sequential hybrid method for the optimal design-for-control of large-scale WDNs, where a refinement stage relying on gradient-based mathematical optimization is used to solve continuous optimal control problems corresponding to design solutions returned by an initial EA search. The proposed method is applied to compute the Pareto front of a bi-objective design-for-control problem for the operational network BWPnet, where we consider reopening closed connections between isolated supply areas. The results show that the considered design-for-control strategy increases the resilience of BWPnet while minimizing pressure induced leakage. Moreover, the refinement stage of the proposed hybrid method efficiently improves the coarse approximation computed by the initial EA search, returning a continuous and even Pareto front approximation.					Pecci, Filippo/AAX-8247-2021	Pecci, Filippo/0000-0003-3200-0892; Stoianov, Ivan/0000-0003-0600-2894													0043-1354	1879-2448				AUG 15	2022	222								118914	10.1016/j.watres.2022.118914	http://dx.doi.org/10.1016/j.watres.2022.118914		AUG 2022						35933815					WOS:000879233100009
J	Shen, SQ; Chen, ZH				Shen, Siqian; Chen, Zhihao			Optimization models for differentiating quality of service levels in probabilistic network capacity design problems	TRANSPORTATION RESEARCH PART B-METHODOLOGICAL												This paper develops various chance-constrained models for optimizing the probabilistic network design problem (PNDP), where we differentiate the quality of service (QoS) and measure the related network performance under uncertain demand. The upper level problem of PNDP designs continuous/discrete link capacities shared by multi-commodity flows, and the lower level problem differentiates the corresponding QoS for demand satisfaction, to prioritize customers and/or commodities. We consider PNDP variants that have either fixed flows (formulated at the upper level) or recourse flows (at the lower level) according to different applications. We transform each probabilistic model into a mixed-integer program, and derive polynomial-time algorithms for special cases with single-row chance constraints. The paper formulates benchmark stochastic programming models by either enforcing to meet all demand or penalizing unmet demand via a linear penalty function. We compare different models and approaches by testing randomly generated network instances and an instance built on the Sioux-Falls network. Numerical results demonstrate the computational efficacy of the solution approaches and derive managerial insights. (C) 2013 Elsevier Ltd. All rights reserved.					zhihao, chen/JBS-2286-2023; chen, zhihao/GXM-3816-2022														0191-2615	1879-2367				DEC	2013	58				SI		71	91		10.1016/j.trb.2013.10.004	http://dx.doi.org/10.1016/j.trb.2013.10.004													WOS:000330082600005
C	Cui, Y; Médard, M; Yeh, E; Leith, D; Duffy, K			IEEE	Cui, Ying; Medard, Muriel; Yeh, Edmund; Leith, Douglas; Duffy, Ken			Optimization-Based Linear Network Coding for General Connections of Continuous Flows	2015 IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS (ICC)	IEEE International Conference on Communications				IEEE International Conference on Communications (ICC)	JUN 08-12, 2015	London, ENGLAND	IEEE				For general connections, the problem of finding network codes and optimizing resources for those codes is intrinsically difficult and little is known about its complexity. Most of the existing solutions rely on very restricted classes of network codes in terms of the number of flows allowed to be coded together, and are not entirely distributed. In this paper, we consider a new method for constructing linear network codes for general connections of continuous flows to minimize the total cost of edge use based on mixing. We first formulate the minimum-cost network coding design problem. To solve the optimization problem, we propose two equivalent alternative formulations with discrete mixing and continuous mixing, respectively, and develop distributed algorithms to solve them. Our approach allows fairly general coding across flows and guarantees no greater cost than any solution without inter-flow network coding.					Cui, Ying/E-3960-2018; Duffy, Ken/D-7955-2011; Leith, Doug/F-9167-2011	Duffy, Ken/0000-0001-5587-9356; Leith, Doug/0000-0003-4056-4014													1550-3607		978-1-4673-6432-4				2015							4492	4498																WOS:000371708104117
